Altitude,Latitude,Longitude,ICSEV,SLD,ICPRB
11000,41.4728,-73.0857,2,-0.09,0.36
11000,41.454,-72.9322,2,-0.09,0.34
11000,41.435,-72.7787,2,-0.09,0.33
11000,41.4159,-72.6254,2,-0.09,0.3
11000,41.3967,-72.472,2,-0.09,0.11
11000,41.3773,-72.3188,2,-0.09,0.11
11000,41.3579,-72.1655,2,-0.09,0.12
11000,41.3382,-72.0124,2,-0.09,0.13
11000,41.7337,-74.292,2,-0.09,0.52
11000,41.7159,-74.1379,2,-0.09,0.54
11000,41.698,-73.9839,5,-0.09,0.58
11000,41.68,-73.8299,5,-0.09,0.62
11000,41.6618,-73.6759,5,-0.09,0.63
11000,41.6435,-73.522,5,-0.09,0.63
11000,41.6251,-73.3682,5,-0.09,0.61
11000,41.6065,-73.2144,2,-0.09,0.38
11000,41.5878,-73.0606,2,-0.09,0.38
11000,41.569,-72.907,2,-0.09,0.38
11000,41.55,-72.7533,2,-0.09,0.35
11000,41.5309,-72.5998,2,-0.09,0.33
11000,41.5117,-72.4463,2,-0.09,0.3
11000,41.4923,-72.2928,2,-0.09,0.11
11000,41.4728,-72.1395,2,-0.09,0.11
11000,41.4532,-71.9861,2,-0.09,0.14
11000,41.74,-73.3434,5,-0.09,0.63
11000,41.7214,-73.1894,2,-0.09,0.55
11000,41.7027,-73.0355,2,-0.09,0.33
11000,41.6839,-72.8817,2,-0.09,0.37
11000,41.6649,-72.7279,2,-0.09,0.5
11000,41.6458,-72.5742,2,-0.09,0.47
11000,41.6265,-72.4205,2,-0.09,0.45
11000,41.6072,-72.2669,2,-0.09,0.3
11000,41.5877,-72.1133,2,-0.09,0.13
11000,41.7414,-72.3946,2,-0.09,0.47
11000,41.722,-72.2408,2,-0.09,0.32
11000,41.7025,-72.0871,2,-0.09,0.14
